horizon,mse,mae,rmse,mape,mape_s,directional_accuracy,n
5,16.185775998575973,0.9919779657706757,1.0946106521141121,0.788852886225852,0.7885534751264932,0.5270828484989527,8594
10,27.023632922662355,1.2643476121848523,1.4308328343356704,0.9979699960448634,0.9980344398852672,0.5273566078324651,8574
20,48.95812514522099,1.6795722207789003,1.9231317091156572,1.3223187433444739,1.322817052275824,0.528217986882249,8522
30,70.86400514840176,2.0150022539805663,2.3226175979939616,1.5760488591484443,1.5776105837262095,0.5292024589830232,8470
60,129.08726647953154,2.7741363250101143,3.2205360393462703,2.174131438012471,2.1778286710122305,0.5275112838055475,8314
90,185.7373496715191,3.353005279233954,3.9070164797383184,2.641922149671892,2.649059771643221,0.5258986147188532,8158
