series,mse,mae,mape_s,mape,da
AUD,0.0013890024746937874,0.02614688953128586,1.7991309741322068,1.799712598737636,0.4949610196439561
BRL,0.03615232980989026,0.13525456777348205,2.547431362002774,2.5526394048680006,0.4989297559662307
CAD,0.00041223602664777325,0.014567555542885762,1.0923951100171199,1.0921435521340435,0.5118034511239677
CHF,0.0003701327509713133,0.013494503076989985,1.5136584026849507,1.516680774644823,0.49338084195256693
CLP,1099.9356015534981,23.17559599588685,2.682336732832476,2.680388003258327,0.5045992032016632
CNY,0.00979857604741627,0.058649887769967275,0.8495267624560883,0.8490250229604318,0.5166113078046586
EUR,0.00041935514592183164,0.013492048085032996,1.4910668170532995,1.4930947870235387,0.49045343814459336
GBP,0.0003032433605269291,0.011844542577171479,1.5138807844314255,1.513847743333949,0.4925274671626126
HKD,0.0002707124211853608,0.009810626237693956,0.1256614876337607,0.12567353224308872,0.5023398735434496
ILS,0.0074440295889844615,0.06111427599918311,1.768245845719153,1.7694881451218236,0.5086782181418253
INR,0.9213794161589665,0.648387586698519,0.7950127773196182,0.7932548727176009,0.5151044939510209
JPY,15.437535412217883,2.4653010709095184,1.7877125379140633,1.7885952710607653,0.5103129215751296
KRW,1137.46639110456,22.417712335296113,1.7021590664823927,1.7022492275058563,0.5012836838698113
MXN,0.3538201003895531,0.3934328614451601,2.038821722746709,2.0352242905200586,0.5120346497952907
NOK,0.09031303679729262,0.2133014287969365,2.168165686252462,2.1686867622854296,0.5048788093731376
NZD,0.001727866813289191,0.0291007874183928,1.816405016902874,1.814799902184609,0.4975132907870939
PLN,0.015283647443587418,0.08373074857193197,2.0516289634098404,2.0502915195717635,0.49464753213611273
RUB,31.083513577570468,3.2851637447021496,4.133378796986949,4.117365002478053,0.4933275438155007
SEK,0.09517796597337061,0.21379006241923892,2.179688283726428,2.1827627211933067,0.4917009611974647
SGD,0.00027734461973870914,0.01141242484784664,0.8508355082942193,0.8520727946323493,0.5130821011711936
THB,0.6485276717657353,0.5491503868300253,1.625494944250901,1.62729434021037,0.508068234778
TRY,0.8121244973041896,0.41115097917000865,2.4616119852423264,2.403053056194026,0.6727075606277441
TWD,0.33452525885309603,0.33890858551775976,1.1108634214835,1.1132700299467717,0.4710596944812652
USD,0.0,0.0,0.0,0.0,1.0
XDR,6.528962394623809e-05,0.005388248506333653,0.7305078800263293,0.7307615373175158,0.4674072551921893
ZAR,0.32624321199201184,0.41224242748313744,2.444971001977038,2.444658771648827,0.4993161067145893
