horizon,mse,mae,rmse,mape,mape_s,directional_accuracy,n
5,16.28400383452489,0.986649698906167,1.091476941753681,0.7815570204804738,0.7812999375260314,0.5287991622061904,8594
10,27.814692632094253,1.2758473211124373,1.4471336561661994,1.0072454508342197,1.0073711142794355,0.5310888215016977,8574
20,51.46828540926168,1.7160569406348305,1.9674779676173766,1.35425848699607,1.3550805748255255,0.5321335490803987,8522
30,75.84146026711954,2.0789315142242173,2.3953055249767785,1.6324968542388132,1.63440202836377,0.5329072181736758,8470
60,143.1577376896169,2.9076681491382956,3.3694737391264904,2.300299732790883,2.3046669084753817,0.5329503431010792,8314
90,209.611722321789,3.548175080667624,4.127055059096954,2.83004574552825,2.83774513526824,0.5314201817475643,8158
