horizon,mse,mae,rmse,mape,mape_s,directional_accuracy,n
5,15.92036941809109,0.9786215412997263,1.0835374321675373,0.7835010658933304,0.783310827285001,0.527315569001629,8594
10,27.073032659141514,1.2530078260300617,1.423512718506225,0.9998453252264368,0.9999228905483798,0.5323717699504964,8574
20,48.61380244756521,1.6655022502387231,1.912117753451078,1.33490616419248,1.3354210503446597,0.5318679825590731,8522
30,70.40109508150188,1.9968237194268048,2.308083928418352,1.6012435850220157,1.6028186429223734,0.5315474494157879,8470
60,128.03096565933694,2.7535019268933096,3.204739392742903,2.2263303145157005,2.230154747705507,0.5293358557956153,8314
90,183.13837878150065,3.3375758363169665,3.89818629957636,2.718308128495222,2.725826999052668,0.5278640116133333,8158
