horizon,mse_zs_c2,mae_zs_c2,mape_s_zs_c2,mape_zs_c2,da_zs_c2,n_zs_c2,mse_zs_tf3,mae_zs_tf3,mape_s_zs_tf3,mape_zs_tf3,da_zs_tf3,n_zs_tf3,mse_ft_c2,mae_ft_c2,mape_s_ft_c2,mape_ft_c2,da_ft_c2,n_ft_c2,delta_c2ft_vs_zs,delta_c2_vs_tf3
5,15.92036941809109,0.9786215412997263,0.783310827285001,0.7835010658933304,0.527315569001629,8594,16.28400383452489,0.986649698906167,0.7812999375260314,0.7815570204804738,0.5287991622061904,8594,16.185775998575973,0.9919779657706757,0.7885534751264932,0.788852886225852,0.5270828484989527,8594,-0.005242647841492198,-0.0020108897589695696
10,27.073032659141514,1.2530078260300617,0.9999228905483798,0.9998453252264368,0.5323717699504964,8574,27.814692632094253,1.2758473211124373,1.0073711142794355,1.0072454508342197,0.5310888215016977,8574,27.023632922662355,1.2643476121848523,0.9980344398852672,0.9979699960448634,0.5273566078324651,8574,0.0018884506631126063,0.007448223731055692
20,48.61380244756521,1.6655022502387231,1.3354210503446597,1.33490616419248,0.5318679825590731,8522,51.46828540926168,1.7160569406348305,1.3550805748255255,1.35425848699607,0.5321335490803987,8522,48.95812514522099,1.6795722207789003,1.322817052275824,1.3223187433444739,0.528217986882249,8522,0.01260399806883572,0.01965952448086572
30,70.40109508150188,1.9968237194268048,1.6028186429223734,1.6012435850220157,0.5315474494157879,8470,75.84146026711954,2.0789315142242173,1.63440202836377,1.6324968542388132,0.5329072181736758,8470,70.86400514840176,2.0150022539805663,1.5776105837262095,1.5760488591484443,0.5292024589830232,8470,0.025208059196163868,0.031583385441396494
60,128.03096565933694,2.7535019268933096,2.230154747705507,2.2263303145157005,0.5293358557956153,8314,143.1577376896169,2.9076681491382956,2.3046669084753817,2.300299732790883,0.5329503431010792,8314,129.08726647953154,2.7741363250101143,2.1778286710122305,2.174131438012471,0.5275112838055475,8314,0.05232607669327649,0.07451216076987466
90,183.13837878150065,3.3375758363169665,2.725826999052668,2.718308128495222,0.5278640116133333,8158,209.611722321789,3.548175080667624,2.83774513526824,2.83004574552825,0.5314201817475643,8158,185.7373496715191,3.353005279233954,2.649059771643221,2.641922149671892,0.5258986147188532,8158,0.07676722740944664,0.11191813621557234
