model,setting,mse,mae,rmse,mape,mape_s,directional_accuracy,n_instances
Chronos-2,zero-shot,77.77730050537674,1.9825530968410454,2.2872346392072633,1.5984032513491684,1.6005736972770985,0.530066051337139,50632
TimesFM3,zero-shot,86.10451220876803,2.0692750615659867,2.3804171607125797,1.6379615239668175,1.6403539051670382,0.5315392793883068,50632
Chronos-2,fine-tuned,78.54158014370918,1.99802388006644,2.298655419868567,1.5717818828160364,1.5738442408818534,0.5275543881297996,50632
