series,mse,mae,mape_s,mape,da
AUD,0.0012700378962293868,0.025093816698519435,1.7221649280520197,1.7229367714301278,0.50049400320251
BRL,0.03286156681692645,0.1306305766945666,2.4621933216014966,2.465173184286512,0.5018108451235882
CAD,0.0003987554216056586,0.014478579245144976,1.0839989941845523,1.0838061928669678,0.5014128607762504
CHF,0.00034507534053362346,0.01288909936342306,1.4433953393507004,1.4467905320680183,0.4870980641691779
CLP,1026.8017361022833,22.64050837538696,2.6116878170991846,2.6086319762231307,0.49171083584163416
CNY,0.008475919201350438,0.0550167051953391,0.7963671867925992,0.7959936889633775,0.5095866239364141
EUR,0.0003398909976132019,0.01245670800099686,1.3760191151865062,1.3777904798193406,0.49248040676041227
GBP,0.00027077960112055363,0.011216307025085127,1.432539983556108,1.4319714430850508,0.4941752051823957
HKD,0.0002612287489954521,0.009482080087358088,0.12146866587726791,0.12147737450139849,0.488605478172568
ILS,0.007020065289612416,0.05931559471046958,1.7185115566457128,1.7202061788256406,0.5080387903079323
INR,0.810635566650571,0.6034609826888324,0.738509556912258,0.7368213893092709,0.5065047887817558
JPY,13.910750490951798,2.4082220593526977,1.742008396618617,1.7408599274377208,0.5100440449376964
KRW,1009.6425382225567,21.42801075678626,1.626164683701573,1.6262214563775383,0.5030081944685282
MXN,0.28032191516722993,0.3674982655319615,1.8996223199415483,1.898738848252102,0.5039465641849605
NOK,0.08762717153946671,0.20793489079639096,2.1133547664817516,2.1128944374065224,0.49855998588829903
NZD,0.0017255997730207737,0.02902628443395857,1.8107500309846924,1.8102033307388175,0.5138724000857167
PLN,0.01394721330913806,0.08134909736095593,1.9953137514949668,1.9944682787625974,0.5144108779558951
RUB,33.67001730553933,3.1538924490636417,3.982472123699394,3.982601096932297,0.49762111782554735
SEK,0.07950328752539775,0.19611455958508436,1.9935669032122374,1.9954112611157726,0.5081597122461003
SGD,0.00028062817799648154,0.011478955884528656,0.855240125349986,0.8562959408440308,0.5068849133823167
THB,0.6172886954061211,0.5391102446625472,1.5936321126823232,1.5950348600214144,0.5089725697301165
TRY,0.755270509190661,0.40095550062575097,2.3816632494904453,2.320576972206782,0.5844218674298975
TWD,0.288520713145221,0.32149548531134,1.052293137402453,1.0541820848856327,0.46431629181780554
USD,1.6022042080865005e-17,2.6880526075176165e-10,2.6880526075176165e-08,2.6880526075176165e-08,0.9963516192994051
XDR,5.7724377001794595e-05,0.005161473617378298,0.6995405919940071,0.6996796429684035,0.47551965144668945
ZAR,0.27892864354462293,0.3837134687911644,2.274497342831373,2.2739337771553174,0.49483541883359117
