series,mse,mae,mape_s,mape,da
AUD,0.0012914567853718314,0.025272695475466414,1.7347059025019576,1.735892767438592,0.4979466970359172
BRL,0.03559101826746748,0.13409589646179704,2.5262213978759003,2.5280526069683757,0.4894063333022286
CAD,0.0004051714184182497,0.014482574481393482,1.084267077282429,1.0839489612851636,0.5057576058377874
CHF,0.0003578940323524492,0.013099070761439688,1.4672680399265425,1.4708952189128965,0.494278978892613
CLP,1017.7100423253926,22.372865795631192,2.5812655846774977,2.5779023488449764,0.49614030583455265
CNY,0.009562231948843683,0.057455781120174514,0.8319206125813712,0.831726650210683,0.523243809162605
EUR,0.0003458856925956076,0.012496595459440797,1.3802440606753092,1.3825724231267422,0.4893161898394112
GBP,0.00028486690400438534,0.01146498170847285,1.4639799592930611,1.4640547208380608,0.49860426860234947
HKD,0.0002649319193135083,0.009556856075696459,0.12242264336704696,0.12243403473228703,0.5116111729751113
ILS,0.007237703861083603,0.060150686611023164,1.7415923083268454,1.7423433433514164,0.5028464894558642
INR,0.9342373500753048,0.6341237213009892,0.7786150808934487,0.7769306650059228,0.5099560518321232
JPY,14.212602862967492,2.37865368482558,1.7226806117012672,1.7231066860219344,0.5172101467442736
KRW,997.4632758750621,21.099161450116764,1.5993816619440417,1.5999922915734153,0.5158558221573226
MXN,0.3038613582721047,0.37767981148820073,1.9609186048888592,1.9577763869883984,0.5144347083920603
NOK,0.09027477055308286,0.20931641159172532,2.1242391128236213,2.123699712642762,0.4995635987871891
NZD,0.0017396334571663857,0.028960942784782066,1.8065407211821263,1.8065119932713378,0.5054436129790172
PLN,0.015050251606783482,0.08274440452977527,2.024479601587516,2.0214873039789785,0.4987236297119347
RUB,34.08070717737952,3.270735591781618,4.14845488401491,4.144709191286441,0.500092342364676
SEK,0.07970759256660549,0.19631728165475143,1.9976544175554762,2.000338434034045,0.5136653864376395
SGD,0.00028285306342190196,0.011402280225640736,0.8499338036644293,0.851126342600552,0.49661300403133923
THB,0.631019621954231,0.541870432386273,1.6022766172350766,1.6046171483090337,0.5081354228206704
TRY,0.863381298537329,0.4458266003529831,2.63826513753168,2.5771467366387197,0.5869936055861849
TWD,0.2965098605752604,0.32050044641533243,1.049374922407261,1.0517354549265165,0.4787454931054074
USD,0.0,0.0,0.0,0.0,1.0
XDR,5.926954585032257e-05,0.00517601214538906,0.7011850499132201,0.7014782443715597,0.4770630046498769
ZAR,0.28279006161544473,0.3874303605250455,2.297370004129424,2.297499714972115,0.49647110824042073
